City,Address,Status,FullName,ShortName,AddressFull,lon,lat
Одеса,"Французский бульвар, 49/51 к5",інститут,Институт глазных болезней и тканевой терапии им. В.П. Филатова АМН Украины,"Общежитие, Институт глазных болезней и тканевой терапии им. В.П. Филатова АМН Украины","Одеса, Французский бульвар, 49/51 к5",30.762746,46.45430899999999
Одеса,"Греческая, 9",училище,Мореходное училище им. О.И. Маринеско,"Экипаж, общежитие, Мореходное училище им. О.И. Маринеско","Одеса, Греческая, 9",30.74355439999999,46.4819125
Одеса,"Академическая, 8",університет,"Національний університет ""Одеська юридична академія""","Общежитие, ОЮА","Одеса, Академическая, 8",30.7479261,46.441511
Одеса,"Успенская, 28/30",університет,"Національний університет ""Одеська юридична академія""","Общежитие, ОЮА","Одеса, Успенская, 28/30",30.743711,46.475442
Одеса,"Генерала Петрова, 18",університет,"Національний університет ""Одеська юридична академія""","Общежитие, ОЮА","Одеса, Генерала Петрова, 18",30.70995,46.431272
Одеса,"Тополевая, 8",університет,"Національний університет ""Одеська юридична академія""","Общежитие, ОЮА","Одеса, Тополевая, 8",30.7233095,46.482526
Одеса,"Фонтанская дорога, 71",університет,"Національний університет ""Одеська юридична академія""","Общежитие, ОЮА","Одеса, Фонтанская дорога, 71",30.754558,46.42133459999999
Одеса,"Академическая, 30",університет,"Національний університет ""Одеська юридична академія""","Приморский, общежитие, ОЮА","Одеса, Академическая, 30",30.7453841,46.4107435
Одеса,"Льва Толстого, 24",університет,"Національний університет ""Одеська юридична академія""","Общежитие, ОЮА","Одеса, Льва Толстого, 24",30.725124,46.480808
Одеса,"Новосельского, 74/76",академія,Одесская государственная академия технического регулирования и качества,"Общежитие, ОГАТРК","Одеса, Новосельского, 74/76",30.7257669,46.4820857
Одеса,"Академика Королёва, 26",коледж,Одесский колледж компьютерных технологий,"Общежитие, Одесский колледж компьютерных технологий","Одеса, Академика Королёва, 26",30.71913899999999,46.4103675
Одеса,"Героев Крут, 19",коледж,"Одесский колледж экономики, права и гостинично-ресторанного бизнеса","Общежитие, Одесский колледж экономики, права и гостинично-ресторанного бизнеса","Одеса, Героев Крут, 19",30.7233095,46.482526
Одеса,"Инглези, 4",інститут,Одесский Торгово-Экономический Институт,"Общежитие, Одесский Торгово-Экономический Институт","Одеса, Инглези, 4",30.7233095,46.482526
Одеса,"Героев Крут, 28Б",училище,ОДЕССКОЕ ВЫСШЕЕ ПРОФЕССИОНАЛЬНОЕ УЧИЛИЩЕ МОРСКОГО ТУРИСТИЧЕСКОГО СЕРВИСА,"Общежитие, ОВПУМТС","Одеса, Героев Крут, 28Б",30.7233095,46.482526
Одеса,"Радостная, 17",училище,Одесское областное базовое медицинское училище,"Общежитие, Одесское областное базовое медицинское училище","Одеса, Радостная, 17",30.6984819,46.441688
Одеса,"Левитана, 103",училище,Одесское Театрально-Художественное Училище,"Общежитие, ОТХУ","Одеса, Левитана, 103",30.7178655,46.4051396
Одеса,"Балковская, 57",академія,Одеська державна академія будівництва та архітектури,"Общежитие, ОГАСА","Одеса, Балковская, 57",30.709209,46.484957
Одеса,"Дегтярная, 22",академія,Одеська державна академія будівництва та архітектури,"Общежитие, ОГАСА","Одеса, Дегтярная, 22",30.722482,46.48067
Одеса,"Дача Ковалевского, 138",академія,Одеська державна академія будівництва та архітектури,"Общежитие, ОГАСА","Одеса, Дача Ковалевского, 138",30.730692,46.376447
Одеса,"Дидрихсона, 4 к9",академія,Одеська державна академія будівництва та архітектури,"Общежитие, ОГАСА","Одеса, Дидрихсона, 4 к9",30.7149565,46.4839262
Одеса,"Композитора Нищинского, 4",академія,Одеська національна академія зв'язку ім. О.С.Попова,"Общежитие, ОНАС","Одеса, Композитора Нищинского, 4",30.7155806,46.4843132
Одеса,"Манежная, 42",академія,Одеська національна академія зв'язку ім. О.С.Попова,"Общежитие, ОНАС","Одеса, Манежная, 42",30.7179329,46.4862095
Одеса,"Академическая, 20",академія,Одеська національна академія зв'язку ім. О.С.Попова,"Общежитие, ОНАС","Одеса, Академическая, 20",30.7525478,46.4407961
Одеса,"Новосельского, 68а",академія,Одеська національна академія зв'язку ім. О.С.Попова,"Общежитие, ОНАС","Одеса, Новосельского, 68а",30.724352,46.48261
Одеса,"Старопортофранковская, 71а",академія,Одеська національна академія зв'язку ім. О.С.Попова,"Общежитие, ОНАС","Одеса, Старопортофранковская, 71а",30.7221636,46.4798236
Одеса,"Канатная, 116",академія,Одеська національна академія харчових технологій,"Общежитие, ОНАПТ","Одеса, Канатная, 116",30.7447042,46.4579692
Одеса,"Тенистая, 9/11",академія,Одеська національна академія харчових технологій,"Общежитие, ОНАПТ","Одеса, Тенистая, 9/11",30.7565427,46.4345471
Одеса,"Канатная, 106",академія,Одеська національна академія харчових технологій,"Общежитие, ОНАПТ","Одеса, Канатная, 106",30.7423747,46.461057
Одеса,"Канатная, 128",академія,Одеська національна академія харчових технологій,"Общежитие, ОНАПТ","Одеса, Канатная, 128",30.7433715,46.4566531
Одеса,"Радостная, 9",академія,Одеська національна академія харчових технологій,"Общежитие, ОНАПТ","Одеса, Радостная, 9",30.6998295,46.4417395
Одеса,"Шампанский переулок, 2а",академія,Одеська національна академія харчових технологій,"Общежитие, ОНАПТ","Одеса, Шампанский переулок, 2а",30.7582535,46.452537
Одеса,"Маловского, 10 к1",академія,Одеська національна морська академія,"Экипаж, общежитие, ОНМА","Одеса, Маловского, 10 к1",30.702239,46.488033
Одеса,"Старопортофранковская, 71Б",академія,Одеська національна музична академія ім. А.В. Нежданової,"Общежитие, ОНМА им. А.В. Неждановой","Одеса, Старопортофранковская, 71Б",30.7222066,46.4802735
Одеса,"Новосельского, 89",коледж,Одеський автомобільно-дорожній коледж,"Общежитие, ОАДК","Одеса, Новосельского, 89",30.7292245,46.479667
Одеса,"Генерала Петрова, 20",коледж,Одеський автомобільно-дорожній коледж,"Общежитие, ОАДК","Одеса, Генерала Петрова, 20",30.7093569,46.43153299999999
Одеса,"Канатная, 98",університет,Одеський державний аграрний університет,"Общежитие, ОГАУ","Одеса, Канатная, 98",30.744938,46.462883
Одеса,"Семинарская, 9",університет,Одеський державний аграрний університет,"Общежитие, ОГАУ","Одеса, Семинарская, 9",30.7475545,46.461982
Одеса,"Героев Крут, 17",університет,Одеський державний аграрний університет,"Общежитие, ОГАУ","Одеса, Героев Крут, 17",30.7233095,46.482526
